"﻿""pitch_type""",game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CU,2026-04-14,77.3,-1.66,5.62,"Polanco, Jorge",593871,808967,strikeout,swinging_strike,,,,,8,Jorge Polanco strikes out swinging.,R,L,R,LAD,NYM,S,2,,2,2,2026,1.12,-1.14,-0.16609839200138488,2.006524855938819,,,,1,7,Top,,,,,,,1.0500856007512933,-112.4209599603562,1.7085904288820626,9.22533628584708,22.865900189376692,-42.34356470771466,3.191043307,1.610433071,,,,77.5,2708,6.7,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.79,,0,0,1,0,0,,42,7,Curveball,1,1,1,1,1,1,1,1,Infield shade,Standard,37,0.025,-0.228,65.3,8.6,,0.228,,0,0,0.543,0.45699999999999996,27,32,28,33,3,2,7,1,,,5,-1.12,1.12,49.2,25.946782883381662,-41.68761701252838,26.177890647817836,39.81238996773805,48.37022226125932
SL,2026-04-14,87.3,-1.89,5.41,"Bichette, Bo",666182,808967,double,hit_into_play,,,,,5,Bo Bichette doubles (3) on a line drive to left fielder Teoscar Hernández.,R,R,R,LAD,NYM,X,7,line_drive,0,0,2026,0.29,0.14,0.242247039045376,2.113748559850046,,,,2,7,Top,50.16,118.61,,,,,4.487159729194578,-127.22564119406364,-1.8924703334947557,2.232222219524016,24.83883465223794,-30.53125585801329,3.162081693,1.595816929,172,80.4,15,87.8,2680,6.4,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.11,0.863,0.816,1.25,1,1,1,4,43,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,81,-0.043,0.579,73.6,7.9,0.962,-0.579,88.0,0,0,0.568,0.43200000000000005,27,28,28,28,3,2,7,1,,1,2.83,-0.29,-0.29,40.0,15.629314055589822,-16.60305274056112,36.29466621734402,34.5740486943299,44.21864285123108
FS,2026-04-14,92.3,-1.66,5.54,"Alvarez, Francisco",682626,808967,,ball,,,,,14,Ball,R,R,R,LAD,NYM,B,,,0,0,2026,-1.25,0.67,0.28116816820455837,0.7145445649773081,,666182,,2,7,Top,,,,,,,7.661384796500668,-134.0814620484964,-7.71810081918111,-16.71549103012845,27.948447821889093,-22.60893017976191,3.120833333,1.575,,,,92.8,1663,6.6,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.93,,,,,,,,44,1,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,227,-0.001,0.019,,,,-0.019,,0,0,0.525,0.475,27,24,28,25,3,2,7,1,,1,2.01,1.25,1.25,43.9,,,,,
FS,2026-04-14,92.1,-1.84,5.43,"Alvarez, Francisco",682626,808967,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,LAD,NYM,B,,,1,0,2026,-1.42,0.19,0.19338579905944542,0.7111852968125167,,666182,,2,7,Top,,,,,,,8.279744887860515,-133.80970759879503,-6.28962563375217,-18.907155831798438,29.798552348048677,-28.684840370071665,3.120833333,1.575,,,,92.5,1544,6.7,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.84,,,,,,,,44,2,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,238,-0.003,0.028,,,,-0.028,,0,0,0.524,0.476,27,24,28,25,3,2,7,1,,1,2.51,1.42,1.42,41.0,,,,,
FS,2026-04-14,91.7,-1.65,5.58,"Alvarez, Francisco",682626,808967,,swinging_strike_blocked,,,,,14,Swinging Strike (Blocked),R,R,R,LAD,NYM,S,,,2,0,2026,-1.12,0.09,0.15973817541169888,0.5231832562682159,,666182,,2,7,Top,,,,,,,7.000719700100773,-133.32910764658646,-6.888984894919832,-14.877229691002364,27.159563567462445,-29.830871403755122,3.120833333,1.575,,,,92.1,1617,6.4,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.06,,,,,,,,44,3,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,231,0.003,-0.051,34.6,6.6,,0.051,,0,0,0.521,0.479,27,24,28,25,3,2,7,1,,1,2.61,1.12,1.12,46.4,2.140446595638578,28.075655856641855,26.654700812662224,40.50664317600968,7.488998375089762
FS,2026-04-14,92.2,-1.81,5.44,"Alvarez, Francisco",682626,808967,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,LAD,NYM,B,,,2,1,2026,-1.03,0.06,1.5141008081162046,0.2356686334450675,,666182,,2,7,Top,,,,,,,10.656071981306265,-133.69339348463336,-7.272245347084517,-14.65909378161966,28.45251394611406,-30.01100061610983,3.120833333,1.575,,,,92.6,1580,6.7,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.81,,,,,,,,44,4,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,229,-0.005,0.055,,,,-0.055,,0,0,0.524,0.476,27,24,28,25,3,2,7,1,,1,2.64,1.03,1.03,43.0,,,,,
FF,2026-04-14,95.2,-1.81,5.58,"Alvarez, Francisco",682626,808967,walk,ball,,,,,11,Francisco Alvarez walks.,R,R,R,LAD,NYM,B,,,3,1,2026,-0.65,1.43,-1.2684625634416609,3.196252270559822,,666182,,2,7,Top,,,,,,,2.902884757471944,-138.60536529011569,-3.68796451399335,-8.995547227221309,32.63794858433886,-13.110598207158985,3.120833333,1.575,,,,95.3,2221,6.4,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.07,,0.709062,0.7,1,0,0,,44,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,218,-0.008,0.072,,,,-0.072,,0,0,0.519,0.481,27,24,28,25,3,2,7,1,,1,1.09,0.65,0.65,44.0,,,,,
FS,2026-04-14,91,-1.89,5.57,"Baty, Brett",683146,808967,,ball,,,,,13,Ball,R,L,R,LAD,NYM,B,,,0,0,2026,-1.22,0.17,-0.37740399966281846,1.2547033817054136,,666182,682626,2,7,Top,,,,,,,6.416274861001026,-132.27114363089805,-5.012754395547449,-15.697088683689332,30.057674241030906,-29.22770184534373,3.327952756,1.679527559,,,,91,1531,6.5,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.98,,,,,,,,45,1,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,228,-0.005,0.024,,,,-0.024,,0,0,0.511,0.489,27,26,28,27,3,2,7,2,,1,2.6,1.22,-1.22,41.8,,,,,
FS,2026-04-14,92.8,-1.98,5.42,"Baty, Brett",683146,808967,,foul,,,,,7,Foul,R,L,R,LAD,NYM,S,,,1,0,2026,-1.25,0.27,-0.7535112205402204,1.8862481617003364,,666182,682626,2,7,Top,,,,,,,5.891969315575321,-135.02346170034699,-3.6401812695670306,-16.541852834459114,29.839001857234923,-28.24033554382656,3.327952756,1.679527559,2,59.9,-51,93.1,1672,6.5,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.98,,,,,,,,45,2,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,236,0.009,-0.052,69.0,7.5,,0.052,88.0,0,0,0.506,0.494,27,26,28,27,3,2,7,2,,1,2.38,1.25,-1.25,40.1,14.171499828122744,10.445487070987737,34.51768455422263,45.973916945479715,25.310430505523726
FC,2026-04-14,91.8,-1.89,5.44,"Baty, Brett",683146,808967,,swinging_strike,,,,,2,Swinging Strike,R,L,R,LAD,NYM,S,,,1,1,2026,0.2,0.74,0.23450320861618573,3.351953291284726,,666182,682626,2,7,Top,,,,,,,4.880240345135455,-133.83649183967887,-1.0020974281008261,1.5462498784414989,25.167033144890755,-23.131929568503992,3.327952756,1.679527559,,,,92.5,2392,6.3,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.18,,,,,,,,45,3,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,184,0.019,-0.063,64.8,5.5,,0.063,,0,0,0.515,0.485,27,26,28,27,3,2,7,2,,1,1.92,-0.2,0.2,43.5,-6.629270524335607,32.22276804962627,31.72944398362559,33.295411052956936,13.292996381400433
FS,2026-04-14,91.8,-1.98,5.34,"Baty, Brett",683146,808967,strikeout,swinging_strike,,,,,13,Brett Baty strikes out swinging.,R,L,R,LAD,NYM,S,2,,1,2,2026,-1.3,-0.01,-0.4753893421005604,1.4545680951621756,,666182,682626,2,7,Top,,,,,,,6.6301052489752195,-133.60540449410777,-3.7946001613148375,-16.937732926902793,26.65354043324197,-31.70280059318136,3.327952756,1.679527559,,,,92.4,1539,6.5,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.01,,0,0,1,0,0,,45,4,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,235,0.054,-0.191,71.6,8.2,,0.191,,0,0,0.534,0.46599999999999997,27,26,28,27,3,2,7,2,,1,2.7,1.3,-1.3,37.9,22.133549329506845,-17.345058741865877,35.4726664746549,42.88910620663993,41.17534855806067
FS,2026-04-14,91.2,-1.72,5.5,"Vientos, Mark",668901,808967,,swinging_strike,,,,,13,Swinging Strike,R,R,R,LAD,NYM,S,,,0,0,2026,-1.22,0.15,-0.8920831723020648,1.2255447751862794,,,,0,8,Top,,,,,,,4.752049178878226,-132.7560559193079,-4.975715824687246,-15.469786332832534,27.690271435563716,-29.542691489523186,3.340239501,1.685728347,,,,91.8,1569,6.6,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.9,,,,,,,,50,1,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,231,0.007,-0.039,72.7,7.6,,0.039,,0,0,0.5,0.5,27,26,28,27,3,2,7,1,,3,2.58,1.22,1.22,44.7,12.164224628966355,-18.012445556310908,39.132056534109296,24.449228720889007,34.54125183151841
FF,2026-04-14,95.5,-1.57,5.69,"Vientos, Mark",668901,808967,field_out,hit_into_play,,,,,11,"Mark Vientos grounds out softly, pitcher Yoshinobu Yamamoto to first baseman Freddie Freeman.",R,R,R,LAD,NYM,X,1,ground_ball,0,1,2026,-0.71,1.35,-1.0044982391581523,2.8807047130502097,,,,0,8,Top,125.5,178.74,,,,,3.1260681715201577,-138.99181264236884,-4.677756844373826,-9.969256437588461,31.28386329825131,-13.832801558166818,3.340239501,1.685728347,7,59.8,-23,96,2288,6.6,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.93,0.041,0.041,0,1,0,0,2,50,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,208,0.039,-0.22,57.4,5.1,0.05,0.22,88.0,0,0,0.507,0.493,27,26,28,27,3,2,7,1,,3,1.15,0.71,0.71,54.2,-17.148779574461145,22.82595648148791,43.7904670605156,21.376334547539454,16.967364122580094
SI,2026-04-14,95.1,-1.66,5.53,"Semien, Marcus",543760,808967,field_out,hit_into_play,,,,,5,Marcus Semien flies out sharply to left fielder Teoscar Hernández.,R,R,R,LAD,NYM,X,7,fly_ball,0,0,2026,-0.93,1.3,-0.12663821258476338,2.156378904875457,,,,1,8,Top,68.98,64.03,,,,,6.128384356996843,-138.2849372303136,-5.936647982948136,-13.336422724606978,33.10275480603537,-14.321282099340475,3.212106299,1.621062992,361,101.9,36,95.2,2202,6.6,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.95,0.411,0.773,0,1,0,0,6,51,1,Sinker,1,1,1,1,1,1,1,1,Standard,Standard,207,0.036,-0.254,74.1,8.3,1.503,0.254,101.9,0,0,0.546,0.45399999999999996,27,35,28,36,3,2,7,1,,1,1.24,0.93,0.93,42.2,17.918586539806224,-15.42062014823924,38.11434330684169,29.11071544057083,33.781420672698395
FS,2026-04-14,90.4,-1.87,5.54,"Benge, Carson",701807,808967,,ball,,,,,11,Ball,R,L,R,LAD,NYM,B,,,0,0,2026,-0.94,-0.07,-1.3733992631570295,2.7621374718564806,,,,2,8,Top,,,,,,,3.2717243977756274,-131.74637106457732,-0.6786296511711165,-11.654378155750209,26.04413542869609,-33.09879235126228,3.259498032,1.644980315,,,,91.1,1189,6.4,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.06,,,,,,,,52,1,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,236,-0.003,0.037,,,,-0.037,,0,0,0.582,0.41800000000000004,27,23,28,23,3,2,7,2,,1,2.84,0.94,-0.94,40.3,,,,,
FF,2026-04-14,95.8,-1.94,5.45,"Benge, Carson",701807,808967,,ball,,,,,11,Ball,R,L,R,LAD,NYM,B,,,1,0,2026,-0.44,1.31,-1.2054369146862527,2.711855707481581,,,,2,8,Top,,,,,,,2.920512568414157,-139.54779898033672,-4.485587011498276,-6.344854575338505,29.844615604614763,-14.194530602586061,3.259498032,1.644980315,,,,96,2061,6.2,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.28,,,,,,,,52,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,218,-0.005,0.065,,,,-0.065,,0,0,0.579,0.42100000000000004,27,23,28,23,3,2,7,2,,1,1.16,0.44,-0.44,39.8,,,,,
CU,2026-04-14,74.7,-1.59,5.58,"Benge, Carson",701807,808967,,called_strike,,,,,7,Called Strike,R,L,R,LAD,NYM,S,,,2,0,2026,0.99,-1.26,-0.3318924172081493,1.7807371985801925,,,,2,8,Top,,,,,,,0.7820512173028822,-108.66476418110996,1.96970726439873,7.610160636005307,21.054246387005062,-42.729477955702585,3.259498032,1.644980315,,,,74.9,2686,6.7,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.81,,,,,,,,52,3,Curveball,1,1,1,1,1,1,1,1,Standard,Standard,36,0.005,-0.066,,,,0.066,,0,0,0.574,0.42600000000000005,27,23,28,23,3,2,7,2,,1,5.39,-0.99,0.99,52.1,,,,,
FC,2026-04-14,91.7,-2.09,5.3,"Benge, Carson",701807,808967,,ball,,,,,14,Ball,R,L,R,LAD,NYM,B,,,2,1,2026,0.42,0.52,0.03285743896512355,0.8821358037889024,,,,2,8,Top,,,,,,,4.396878461249497,-133.55721273831432,-6.297419533663952,4.23651524941243,26.58505124630173,-24.855279455685874,3.259498032,1.644980315,,,,92.6,2469,6.6,823965,669257,518692,690976,571970,808975,606192,681624,663656,53.92,,,,,,,,52,4,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,187,-0.007,0.117,,,,-0.117,,0,0,0.579,0.42100000000000004,27,23,28,23,3,2,7,2,,1,2.17,-0.42,0.42,36.3,,,,,
FS,2026-04-14,91.8,-2.03,5.4,"Benge, Carson",701807,808967,single,hit_into_play,,,,,13,Carson Benge singles on a line drive to left fielder Teoscar Hernández.,R,L,R,LAD,NYM,X,7,line_drive,3,1,2026,-1.31,0,-0.9200351941068952,2.3483823657952616,,,,2,8,Top,55.05,105.44,,,,,5.678480002572054,-133.60791715832335,-1.71286892052771,-16.92191509006516,26.838524020723074,-31.9899189038297,3.259498032,1.644980315,258,98.5,13,92.3,1568,6.4,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.1,0.94,0.897,0.9,1,1,0,4,52,5,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,234,-0.015,0.172,71.9,6.3,1.126,-0.172,98.5,0,0,0.572,0.42800000000000005,27,23,28,23,3,2,7,2,,1,2.69,1.31,-1.31,37.7,5.569386071176226,18.3341375417952,29.861808408170845,44.197768575828235,26.741763961167248
FS,2026-04-14,91.2,-2.07,5.42,"Lindor, Francisco",596019,808967,,ball,,,,,11,Ball,R,L,R,LAD,NYM,B,,,0,0,2026,-0.58,0.28,-0.8744396003814275,3.977020320085487,,,701807,2,8,Top,,,,,,,4.25093408073726,-132.88404841500855,1.7341990162894838,-7.746077640128381,25.25870239437456,-29.312634734559808,3.107668963,1.568356299,,,,92,1567,6.5,823965,669257,518692,690976,571970,808975,606192,681624,663656,54.05,,,,,,,,53,1,Split-Finger,1,1,1,1,1,1,1,1,Standard,Standard,235,-0.004,0.035,,,,-0.035,,0,0,0.557,0.44299999999999995,27,32,28,33,4,3,7,1,,1,2.42,0.58,-0.58,38.9,,,,,
FC,2026-04-14,89,-1.89,5.45,"Lindor, Francisco",596019,808967,single,hit_into_play,,,,,8,Francisco Lindor singles on a ground ball to right fielder Kyle Tucker. Carson Benge to 3rd.,R,L,R,LAD,NYM,X,9,ground_ball,1,0,2026,0.47,0.39,-0.027336639978142396,1.585615897701472,,,701807,2,8,Top,152.13,167.95,,,,,3.536179921678348,-129.70211738202843,-4.13602005147277,4.636979334165423,24.85344710208038,-27.127693780959763,3.107668963,1.568356299,8,97.3,-12,89.8,2485,6.5,823965,669257,518692,690976,571970,808975,606192,681624,663656,54,0.183,0.165,0.9,1,1,0,2,53,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,163,-0.053,0.311,85.4,7.9,0.208,-0.311,97.3,0,0,0.553,0.44699999999999995,27,32,28,33,4,3,7,1,,1,2.46,-0.47,0.47,40.0,15.42007726666008,-16.58048586822404,38.752723279497054,34.71389816268295,33.907563469838664
